kind,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,89166489,1924,7,-44,164,-986,183,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89206490,1925,7,-45,165,-989,61,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89246489,1926,7,-44,164,-986,183,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89286489,1927,7,-44,162,-987,61,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89326488,1928,7,-44,164,-988,122,183,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89366488,1929,7,-44,163,-989,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89406489,1930,7,-44,163,-986,122,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89446488,1931,7,-44,164,-987,61,305,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89486488,1932,7,-44,163,-985,61,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89526489,1933,7,-46,163,-987,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89566489,1934,7,-44,164,-988,183,0,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89606489,1935,7,-45,164,-987,0,122,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89646489,1936,7,-44,164,-990,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89686488,1937,7,-44,164,-987,122,0,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89726498,1938,7,-45,164,-987,-61,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89766498,1939,7,-44,163,-987,183,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89806498,1940,7,-44,164,-987,122,-61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89846498,1941,7,-44,164,-987,61,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89886499,1942,7,-43,162,-987,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89926498,1943,7,-46,164,-987,61,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,89966498,1944,7,-46,164,-987,183,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90006499,1945,7,-47,163,-987,122,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90046498,1946,7,-45,164,-989,61,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90086498,1947,7,-44,164,-989,183,122,183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90126498,1948,7,-44,163,-984,61,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90166488,1949,7,-45,164,-986,0,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90206488,1950,7,-44,165,-987,0,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90246489,1951,7,-43,165,-988,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90286489,1952,7,-46,164,-988,61,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90326489,1953,7,-43,165,-988,122,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90366489,1954,7,-45,165,-988,122,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90406489,1955,7,-45,164,-989,183,-61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90446489,1956,7,-44,164,-987,61,122,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90486489,1957,7,-45,165,-987,122,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90526489,1958,7,-44,164,-986,122,61,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,90556061,113,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,90654448,1959,7,-43,164,-987,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90686489,1960,7,-44,164,-986,-61,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90808535,1961,7,-45,163,-987,61,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90846489,1962,7,-44,164,-988,122,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90886489,1963,7,-44,164,-988,61,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90926489,1964,7,-45,163,-988,183,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,90966489,1965,7,-44,164,-988,61,0,244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,90990362,114,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,91006489,1966,7,-43,163,-986,61,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91102509,1967,7,-43,164,-989,122,122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91126499,1968,7,-46,165,-988,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,91252761,115,,,,,,,,1112,66,149,61,32,163,32,128,36,30,240,255,61,60,0,255,30,149,66,255,0,0,148,255,0,255,32
IMU_SAMPLE,91256497,1969,7,-45,163,-988,0,244,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91287497,1970,7,-44,164,-988,0,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91410067,1971,7,-44,165,-990,-61,244,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91446489,1972,7,-44,163,-987,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91486489,1973,7,-45,164,-989,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91526489,1974,7,-45,164,-988,61,61,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91566489,1975,7,-45,163,-988,-61,0,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91606489,1976,7,-43,163,-989,183,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91646489,1977,7,-43,164,-986,122,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91686489,1978,7,-44,163,-987,122,0,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91726489,1979,7,-45,164,-990,0,305,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91766489,1980,7,-45,164,-985,183,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91806489,1981,7,-44,163,-989,122,0,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91846488,1982,7,-44,164,-987,61,122,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91886489,1983,7,-46,164,-984,61,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91926488,1984,7,-47,166,-992,0,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,91966489,1985,7,-45,164,-987,244,183,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92006488,1986,7,-42,162,-987,122,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92046489,1987,7,-44,163,-990,183,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92086488,1988,7,-42,162,-987,-61,305,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92126489,1989,7,-42,164,-984,0,122,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92166488,1990,7,-46,166,-992,61,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92206489,1991,7,-44,163,-989,244,244,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92246488,1992,7,-45,163,-984,61,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92286489,1993,7,-45,163,-991,183,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,92326488,1994,7,-44,164,-988,122,61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKER,92339535,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
