kind,event_subtype,timestamp_us,sequence,validity,accel_x_mg,accel_y_mg,accel_z_mg,gyro_x_mdps,gyro_y_mdps,gyro_z_mdps,payload_length,g000_z0_raw,g000_z1_raw,g000_z2_raw,g000_z3_raw,g000_z4_raw,g000_z5_raw,g000_z6_raw,g000_z7_raw,g000_z8_raw,g000_z9_raw,g001_z1_raw,g001_z2_raw,g001_z3_raw,g001_z4_raw,g002_z1_raw,g002_z2_raw,g002_z3_raw,g002_z4_raw,g003_z1_raw,g003_z2_raw,g003_z3_raw,g003_z4_raw,g004_z1_raw,g004_z2_raw,g004_z3_raw,g004_z4_raw
IMU_SAMPLE,,83175082,1797,7,-38,195,-971,183,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83182527,1798,7,-37,195,-973,183,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83222527,1799,7,-38,195,-971,122,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83262527,1800,7,-37,194,-973,244,122,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83302527,1801,7,-37,195,-971,122,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83342527,1802,7,-39,196,-971,61,183,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,83369717,104,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,83470360,1803,7,-38,195,-972,122,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83502527,1804,7,-39,195,-973,183,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83624804,1805,7,-34,194,-968,183,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,83640050,105,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,83662527,1806,7,-38,192,-967,122,-305,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83779573,1807,7,-40,196,-992,305,1099,305,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83782527,1808,0,0,0,0,0,0,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83822527,1809,7,-42,199,-986,488,2869,488,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83862527,1810,7,-29,183,-911,122,-183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83902527,1811,7,-38,204,-996,-61,-427,-305,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83942527,1812,7,-32,191,-950,977,305,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,83982527,1813,7,-39,188,-991,-366,-549,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84022527,1814,7,-36,197,-1029,-244,366,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84062527,1815,7,-31,184,-928,854,-549,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84102527,1816,7,-39,197,-970,-61,-549,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84142527,1817,7,-38,205,-1006,122,732,122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84182527,1818,7,-32,191,-945,305,-366,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84222527,1819,7,-40,196,-973,122,-244,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84262527,1820,7,-39,196,-984,183,671,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84302527,1821,7,-35,190,-963,61,-244,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84342527,1822,7,-37,195,-976,366,61,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84382527,1823,7,-37,196,-975,122,305,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84422527,1824,7,-33,197,-970,0,61,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84462527,1825,7,-35,197,-968,427,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84502527,1826,7,-33,195,-973,244,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84542527,1827,7,-33,191,-978,61,183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84582527,1828,7,-34,189,-970,183,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84622527,1829,7,-36,191,-976,244,61,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84662527,1830,7,-34,195,-972,61,244,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84702527,1831,7,-38,197,-969,183,122,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84742527,1832,7,-38,198,-971,183,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84782527,1833,7,-38,199,-972,0,61,-122,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84822527,1834,7,-37,197,-975,244,122,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,84862527,1835,7,-37,193,-966,244,183,0,40,,,,,,,,,,,,,,,,,,,,,,,,,,
MARKER,MARKER,84878066,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,
ECU_SNAPSHOT,,84893247,106,,,,,,,,1112,66,148,56,32,163,32,128,36,24,240,255,56,60,0,255,24,147,66,255,0,0,144,255,0,255,32
IMU_SAMPLE,,84995334,1836,7,-31,188,-962,0,-549,-183,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85022527,1837,7,-35,197,-984,0,-61,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85149410,1838,7,-37,197,-979,244,305,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85182527,1839,7,-35,193,-962,244,61,-244,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85222527,1840,7,-40,197,-979,0,-183,-61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
IMU_SAMPLE,,85262527,1841,7,-39,193,-972,305,427,61,40,,,,,,,,,,,,,,,,,,,,,,,,,,
